@relation train

@attribute employee_id numeric
@attribute department {'Sales  Marketing',Operations,Technology,Analytics,RD,Procurement,Finance,HR,Legal}
@attribute region {region_7,region_22,region_19,region_23,region_26,region_2,region_20,region_34,region_1,region_4,region_29,region_31,region_15,region_14,region_11,region_5,region_28,region_17,region_13,region_16,region_25,region_10,region_27,region_30,region_12,region_21,region_8,region_32,region_6,region_33,region_24,region_3,region_9,region_18}
@attribute education {'Masters  above',Bachelors,'Below Secondary'}
@attribute gender {f,m}
@attribute recruitment_channel {sourcing,other,referred}
@attribute no_of_trainings numeric
@attribute age numeric
@attribute previous_year_rating numeric
@attribute length_of_service numeric
@attribute 'KPIs_met >80\%' numeric
@attribute awards_won? numeric
@attribute avg_training_score numeric
@attribute is_promoted numeric
@attribute Class {yes,No}

@data
65438,'Sales  Marketing',region_7,'Masters  above',f,sourcing,1,35,5,8,1,0,49,0,yes
65141,Operations,region_22,Bachelors,m,other,1,30,5,4,0,0,60,0,yes
7513,'Sales  Marketing',region_19,Bachelors,m,sourcing,1,34,3,7,0,0,50,0,yes
2542,'Sales  Marketing',region_23,Bachelors,m,other,2,39,1,10,0,0,50,0,yes
48945,Technology,region_26,Bachelors,m,other,1,45,3,2,0,0,73,0,yes
58896,Analytics,region_2,Bachelors,m,sourcing,2,31,3,7,0,0,85,0,yes
20379,Operations,region_20,Bachelors,f,other,1,31,3,5,0,0,59,0,yes
16290,Operations,region_34,'Masters  above',m,sourcing,1,33,3,6,0,0,63,0,yes
73202,Analytics,region_20,Bachelors,m,other,1,28,4,5,0,0,83,0,yes
28911,'Sales  Marketing',region_1,'Masters  above',m,sourcing,1,32,5,5,1,0,54,0,yes
29934,Technology,region_23,?,m,sourcing,1,30,?,1,0,0,77,0,yes
49017,'Sales  Marketing',region_7,Bachelors,f,sourcing,1,35,5,3,1,0,50,1,No
60051,'Sales  Marketing',region_4,Bachelors,m,sourcing,1,49,5,5,1,0,49,0,yes
38401,Technology,region_29,'Masters  above',m,other,2,39,3,16,0,0,80,0,yes
77040,RD,region_2,'Masters  above',m,sourcing,1,37,3,7,0,0,84,0,yes
43931,Operations,region_7,Bachelors,m,other,1,37,1,10,0,0,60,0,yes
7152,Technology,region_2,Bachelors,m,other,1,38,3,5,1,0,77,0,yes
9403,'Sales  Marketing',region_31,Bachelors,m,other,1,34,1,4,0,0,51,0,yes
17436,'Sales  Marketing',region_31,Bachelors,m,other,1,34,5,8,1,0,46,0,yes
54461,Operations,region_15,Bachelors,m,other,1,37,3,9,0,0,59,0,yes
12067,Procurement,region_14,Bachelors,m,other,1,35,3,7,0,0,75,0,yes
33332,Operations,region_15,?,m,sourcing,1,41,4,11,0,0,57,0,yes
58789,Finance,region_11,Bachelors,f,other,1,28,3,4,0,0,63,0,yes
71177,Procurement,region_5,Bachelors,m,other,1,27,?,1,0,0,70,0,yes
52057,Finance,region_22,'Masters  above',m,sourcing,2,39,5,7,0,0,59,0,yes
26585,Technology,region_22,Bachelors,m,other,1,27,5,3,1,0,83,0,yes
37749,Procurement,region_26,Bachelors,m,other,1,31,5,4,1,0,68,0,yes
2370,Technology,region_26,Bachelors,m,other,1,33,4,4,0,0,79,0,yes
8219,Analytics,region_5,Bachelors,m,other,1,29,5,3,1,0,80,0,yes
74759,'Sales  Marketing',region_4,Bachelors,m,sourcing,1,26,?,1,0,0,44,0,yes
27395,Procurement,region_15,Bachelors,m,sourcing,1,37,5,10,1,0,72,0,yes
58536,Finance,region_31,Bachelors,m,other,2,26,1,2,0,0,61,0,yes
35465,'Sales  Marketing',region_7,?,f,sourcing,1,24,1,2,0,0,48,0,yes
51756,Operations,region_2,Bachelors,m,sourcing,2,57,4,6,0,0,58,0,yes
57011,Analytics,region_22,Bachelors,m,other,2,27,5,3,1,0,87,0,yes
77064,'Sales  Marketing',region_22,Bachelors,m,other,1,40,2,4,1,0,47,0,yes
64062,Technology,region_28,Bachelors,m,sourcing,1,33,4,4,1,0,75,0,yes
47123,'Sales  Marketing',region_7,Bachelors,f,sourcing,1,40,5,3,0,0,47,0,yes
56275,'Sales  Marketing',region_1,'Masters  above',m,other,1,42,5,5,1,0,51,0,yes
58304,'Sales  Marketing',region_28,Bachelors,m,sourcing,1,33,5,6,1,0,51,1,No
25014,Technology,region_15,Bachelors,m,other,1,34,3,10,0,0,80,0,yes
40097,Operations,region_2,Bachelors,f,other,2,23,4,2,1,0,57,0,yes
23560,HR,region_2,Bachelors,m,sourcing,1,59,4,26,1,0,52,0,yes
17423,'Sales  Marketing',region_2,?,m,other,3,24,2,2,0,0,48,0,yes
61758,Analytics,region_2,Bachelors,m,other,1,44,5,12,0,0,88,0,yes
75009,Procurement,region_17,Bachelors,f,sourcing,1,50,5,11,0,0,71,0,yes
17876,Procurement,region_13,'Masters  above',f,other,1,37,4,4,0,0,71,0,yes
36924,Technology,region_16,Bachelors,m,sourcing,1,40,3,11,0,0,80,0,yes
50408,'Sales  Marketing',region_20,Bachelors,m,sourcing,1,30,3,3,1,0,49,0,yes
18013,Procurement,region_2,'Masters  above',f,sourcing,1,56,3,12,0,0,73,0,yes
24104,Finance,region_2,Bachelors,m,sourcing,1,20,4,2,1,0,60,0,yes
32083,'Sales  Marketing',region_25,Bachelors,f,sourcing,1,31,3,8,0,0,48,0,yes
38330,Procurement,region_15,Bachelors,m,sourcing,1,40,3,12,1,0,65,0,yes
33690,HR,region_22,Bachelors,m,other,1,30,1,6,0,0,50,0,yes
73161,Operations,region_22,Bachelors,m,other,1,39,3,5,1,0,62,0,yes
13596,Analytics,region_31,Bachelors,m,other,2,26,2,2,0,0,85,0,yes
45709,'Sales  Marketing',region_31,Bachelors,f,other,1,29,?,1,0,0,49,0,yes
32709,RD,region_22,'Masters  above',m,sourcing,1,40,3,5,1,0,84,0,yes
26599,'Sales  Marketing',region_16,Bachelors,m,other,2,27,?,1,1,0,47,0,yes
32656,'Sales  Marketing',region_19,Bachelors,m,other,1,40,4,7,0,0,52,0,yes
17673,'Sales  Marketing',region_4,'Masters  above',m,other,1,50,4,17,1,0,47,1,No
3113,'Sales  Marketing',region_29,Bachelors,m,sourcing,1,25,3,3,0,0,53,0,yes
9150,Analytics,region_22,Bachelors,f,other,1,28,?,1,1,0,80,0,yes
14107,'Sales  Marketing',region_1,'Masters  above',m,sourcing,1,35,4,2,1,0,52,0,yes
58747,RD,region_26,Bachelors,m,other,1,34,5,5,0,0,87,0,yes
3342,Operations,region_13,'Masters  above',f,sourcing,1,31,3,3,1,0,58,0,yes
77981,Finance,region_22,Bachelors,m,other,1,27,?,1,1,1,58,1,No
16502,'Sales  Marketing',region_22,Bachelors,m,sourcing,1,27,?,1,0,0,61,1,No
73729,Procurement,region_10,Bachelors,m,other,1,30,4,6,1,0,75,0,yes
45624,Analytics,region_31,Bachelors,m,other,1,30,3,7,1,0,84,1,No
75677,Operations,region_22,Bachelors,f,other,1,50,5,5,1,0,59,0,yes
24040,Technology,region_22,'Masters  above',m,other,1,34,5,7,1,0,78,1,No
68082,'Sales  Marketing',region_2,'Masters  above',f,sourcing,1,41,1,12,0,0,52,0,yes
51786,'Sales  Marketing',region_16,Bachelors,m,sourcing,1,32,4,6,0,0,44,0,yes
77577,'Sales  Marketing',region_7,Bachelors,m,other,1,50,3,14,0,0,52,0,yes
54782,'Sales  Marketing',region_2,'Masters  above',m,sourcing,1,38,4,2,1,0,49,1,No
52368,'Sales  Marketing',region_27,Bachelors,m,sourcing,2,29,1,5,0,0,51,0,yes
75103,'Sales  Marketing',region_30,Bachelors,m,sourcing,1,35,4,3,1,0,53,0,yes
7520,Analytics,region_2,Bachelors,m,other,1,25,3,2,1,0,91,0,yes
59147,'Sales  Marketing',region_22,Bachelors,m,sourcing,1,30,3,3,0,0,58,1,No
53092,Technology,region_2,Bachelors,m,referred,1,47,3,7,0,0,79,0,yes
34564,Operations,region_4,'Masters  above',m,sourcing,1,35,2,7,0,0,53,0,yes
66013,'Sales  Marketing',region_2,?,m,sourcing,2,25,3,2,0,0,53,0,yes
77135,RD,region_22,Bachelors,m,other,1,36,4,8,0,0,82,0,yes
44575,Legal,region_7,Bachelors,m,other,1,29,?,1,0,0,65,1,No
47498,Operations,region_11,'Masters  above',f,sourcing,1,42,5,11,1,0,60,1,No
20798,HR,region_20,Bachelors,f,sourcing,1,28,2,6,0,0,52,0,yes
69094,'Sales  Marketing',region_2,?,m,sourcing,1,39,1,9,0,0,49,0,yes
22261,Procurement,region_7,'Masters  above',m,sourcing,1,32,5,3,1,0,69,1,No
9589,'Sales  Marketing',region_31,Bachelors,f,other,1,31,?,1,0,0,51,0,yes
62658,'Sales  Marketing',region_2,?,f,sourcing,1,20,?,1,0,0,55,0,yes
21628,Analytics,region_12,Bachelors,m,other,1,34,3,8,0,0,85,0,yes
68484,Procurement,region_2,'Masters  above',m,sourcing,2,46,4,3,1,0,74,0,yes
44523,HR,region_2,'Masters  above',m,other,1,47,3,7,0,0,44,0,yes
35420,Operations,region_2,Bachelors,f,other,1,44,4,13,0,0,53,0,yes
43923,Analytics,region_14,Bachelors,m,sourcing,1,31,4,4,1,0,86,0,yes
64109,Technology,region_26,Bachelors,f,sourcing,1,23,?,1,0,0,77,0,yes
41983,Operations,region_2,Bachelors,f,sourcing,1,33,3,5,0,0,57,0,yes
21440,'Sales  Marketing',region_31,Bachelors,m,other,1,41,3,12,1,0,52,0,yes
51256,Finance,region_2,'Masters  above',m,other,1,60,5,17,0,0,59,0,yes
66635,Operations,region_15,Bachelors,m,other,1,31,5,4,1,0,63,1,No
16027,Operations,region_26,Bachelors,f,other,1,37,3,11,0,0,57,0,yes
46020,Analytics,region_7,Bachelors,m,sourcing,2,39,3,4,1,0,83,0,yes
